,Broughton_2015_Summer,Broughton_2015_Summer,Broughton_2015_Winter,Broughton_2015_Winter,Fingal_2015_Summer,Fingal_2015_Summer,Fingal_2015_Winter,Fingal_2015_Winter,Broughton_2016_Summer,Broughton_2016_Summer,Broughton_2016_Winter,Broughton_2016_Winter,Fingal_2016_Summer,Fingal_2016_Summer,Fingal_2016_Winter,Fingal_2016_Winter,RLS_Fingal_Warm,RLS_Fingal_Cool,RLS_FingalSanctuary_Cool,RLS_FingalSanctuary_Warm,RLS_FingalSanctuary_Cool,RLS_FingalSponges_Warm,RLS_Fingal_Sponges_warm,BotanyBay_Seagrass_2018,BotanyBay_ArtificialReef_2019,BotanyBay_NaturalReef_2019,BotanyBay_Seagrass_2019,BotanyBay_ArtificialReef_2019,BotanyBay_NaturalReef_2019,BotanyBay_Seagrass_2019,BotanyBay_ArtificialReef_2019,BotanyBay_NaturalReef_2019,BotanyBay_ArtificialReef_2020,BotanyBay_NaturalReef_2020,BotanyBay_Seagrass_2020,LakeMacquarie_ArtificialReef_18,LakeMacquarie_NaturalReef_18,LakeMacquarie_Seagrass_18,LakeMacquarie_ArtificialReef_18,LakeMacquarie_NaturalReef_18,LakeMacquarie_Seagrass_18,LakeMacquarie_ArtificialReef_19,LakeMacquarie_NaturalReef_19,LakeMacquarie_Seagrass_19,LakeMacquarie_ArtificialReef_19,LakeMacquarie_NaturalReef_19,LakeMacquarie_Seagrass_19,LakeMacquarie_ArtificialReef_19,LakeMacquarie_NaturalReef_19,LakeMacquarie_Seagrass_19,SydneyRUV,SydneyTransect,average,SydneyRUV,SydneyTransect,average,SydneyRUV,SydneyTransect,average,SydneyRLS_BROWNS ROCK N=4,SydneyRLS_HENRYS HEAD N=3,SydneyRLS_BARE ISLAND N=3,SydneyRLS_MAROUBRA N=2,SydneyRLS_GORDONS BAY N=2,SydneyRLS_STH CLOVELLY N=2,SydneyRLS_SHARK POINT STH N=3,SydneyRLS_STH  BONDI **,SydneyRLS_NRTH BONDI N=3,SydneyRLS_THE GAP N=5,SydneyRLS_INSIDE STH HEAD N=4,SydneyRLS_THE BLOCKS N=3,SydneyRLS_OLD MANS HAT N=3,SydneyRLS_INSIDE NRTH HEAD N=4,SydneyRLS_BLUEFISH NTH HEAD N=3
Demersal Piscivorous Sharks,0,1.4163E-05,0.101479907,0.060027518,0,0,0.020530446,0,0,0.002360802,0.163839015,0.061635195,0.377348884,5.04856E-05,0.022641498,0,0.258875879,0.028096563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00432405,0.002162025,0,0.016405973,0.008202987,0,0.001947532,0.000973766,0,0,0,0,0,0,0,0,0,0,0.001291243,0,0,0.085600166,0
Demersal Non Piscivorous Sharks,0.002226105,0,0.077201453,0.002038116,0.108661404,0.107767901,0.287924993,0.342920869,0,9.58746E-07,0.00433531,0.004197209,0.202307978,0.000104491,0.282667473,0.000314205,0,0,0,0,0,0,0,0,0,0,0,0,0.934845916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003644686,0.001822343,0,0.027656766,0.013828383,0,0.00164155,0.000820775,0.014202287,0,0,0,0,0,0,0,0.000460453,0.146477867,0.117843125,0,0,0.000943366,0
Coastal Piscivores,0,0.999585741,0,0.136726265,0,0.156798887,0,0.021115452,0.999814957,0.996511206,0,0,0.012612985,0.999115385,0,0.998388063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020936279,0.640053747,0,0,0.981799378,0,0,0,0,0,0,0,0.876246639,0,0,0,0,0,0,0.001289774,0.000644887,0,0.216869534,0.108434767,0.041753104,0.000355546,0.021054325,0,0,0,0,0,0,0,0.003286375,0.327484196,0,0,0,0,0,0
Demersal Non Piscivores,0.462081556,0.000209138,0.396847799,0.440255116,0.226880113,0.222493024,0.244914299,0.346842934,4.73002E-05,0.000516139,0.257113001,0.400678508,0.151942706,0.000160823,0.191569211,0.0003801,0.087243937,0.035017917,0.45164831,0.65278526,0.47234112,0.046318783,0.61585567,0.415919757,0.124928749,0.212944894,0,0.29221143,0.053359384,0.090067873,0.118805332,0.420582795,0.438217892,0.160891127,0,0.571158913,0.008488175,0,0.236254774,0.416899547,0.189958842,0.310145545,0.604875716,0,0.055044446,0.28022677,0,0.500853177,0.529292796,0.841458937,0.273152448,0.069218144,0.171185296,0.121934224,0.101661054,0.111797639,0.089627683,0.046035709,0.067831696,0.096496451,0.211305191,0.35623223,0.078344901,0.281127208,0.201755746,0.135633379,0.263427464,0.030539313,0.073203595,0.226294149,0.071724824,0.089321505,0.130300139,0.163246273
Reef Piscivores,0.054447387,3.0131E-05,0.079386405,0.054926239,0.023360099,0.018172983,0.055768247,0.057721898,9.54376E-06,4.54069E-05,0.168089623,0.118975464,0.034849581,3.69902E-05,0.062749355,9.67944E-05,0.195103527,0.082909792,0.005063901,0.010888772,0.052126628,0.012555785,0.017054317,0,0,0.060156886,0,0,0,0,0.05934142,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014117423,0,0,0,0,0,0.079607678,0.029956323,0.054782001,0.162160006,0.028244226,0.095202116,0.247620805,0.144930268,0.196275536,0.035565752,0.007818663,0.034375124,0,0.226270538,0.012927399,0.024646631,0,0.000216966,0.00309405,0.002395319,0.105769298,0.020792487,0.049910603,0.020290174
Cephalopoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rays,0.148285452,3.47015E-05,0.019126264,0.039597569,0.129048462,0.417921832,0.149246434,0.139742752,1.86897E-05,0.000306845,0.060163327,0.197435224,0.131290203,0.000127114,0.110793928,0.000113727,0,0,0,0,0,0,0,0.452044808,0,0,0.845679386,0,0,0.909932127,0,0,0.073227903,0,0.98570304,0,0,0.489789345,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007552139,0.003776069,0,0.005730747,0.002865374,0.052698351,0,0.026349176,0,0,0,0,0,0.012131857,0.000426583,0.019957513,0,0,0,0,0,0.015412809,0.056607204
reef non piscovores,0.055275342,1.28085E-05,0.059207685,0.038162509,0.03192891,0.028043976,0.039697532,0.035903259,8.70887E-06,4.86083E-05,0.078512682,0.048080335,0.023657179,3.13416E-05,0.033590096,5.66861E-05,0.046860993,0.016438289,0.147962567,0.132288504,0.458786123,0.066837285,0.156503765,0,0.093074843,0.124114494,0,0,0,0,0,0,0.087930969,0,0,0.020742122,0.006466261,0.041652771,0,0,0,0,0,0,0,0,0,0,0,0,0.083028291,0.059973325,0.071500808,0.036115186,0.024825853,0.030470519,0.018393066,0.015073459,0.016733262,0.520556566,0.224363635,0.123556356,0.072682193,0.234271679,0.176299151,0.123265344,0.106476399,0.031596225,0.060852427,0.249450023,0.015653492,0.064503743,0.0445179,0.127066447
SBF,0,0,0,0,0,0,0,0,0,0,0,0,0.001046094,0,0,0,0,0.002109895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demersal Omnivores,0.059176907,1.60899E-05,0.055490214,0.026991229,0.065587167,0.036109867,0.038116164,0.050284917,3.59347E-06,4.23703E-05,0.05565381,0.134107822,0.009538504,3.31355E-05,0.090653989,6.07217E-05,0.011761339,0.008113205,0,0.079347204,0.004229294,0.159989833,0.038216262,0.132035434,0.421311248,0.294299694,0.154320614,0.406007215,0.0117947,0,0.257921956,0.579417205,0.162701526,0.026729652,0.01429696,0.198331394,0.003246186,0.468557885,0.763745226,0.220651783,0.810041158,0.689854455,0.395124284,0,0.039538894,0.349091542,0,0.490223179,0.470707204,0.158541063,0.082114722,0.024134017,0.053124369,0.020915077,0.011203983,0.01605953,0.03365309,0.001895861,0.017774476,0,0.00140745,0.003474507,0.001208191,0.014744842,0.022898048,0.031391526,0.000218786,0.003266949,0.009346532,0.01103957,0.009622596,0.011762083,0.012839104,0.02195755
